,t,ws,wf,ms,mf
0,0.0,350.0,350.0,150.0,150.0
1,1.0,181.157498405,524.380703377,77.638927888,224.734587162
2,2.0,181.523799188,529.594333338,77.7959139379,226.969000002
3,3.0,181.886689683,534.824789784,77.9514384357,229.210624193
4,4.0,182.246212156,540.071278885,78.1055194953,231.459119522
5,5.0,182.602329473,545.333079375,78.2581412027,233.714176875
6,6.0,182.955053328,550.6094331,78.4093085693,235.975471329
7,7.0,183.304363084,555.899567861,78.5590127503,238.242671941
8,8.0,183.650275894,561.202700751,78.7072610975,240.515443179
9,9.0,183.992809553,566.518033071,78.8540612369,242.793442745
10,10.0,184.331903707,571.844827199,78.999387303,245.076354514
11,10.0,184.331903707,571.844827199,78.999387303,245.076354514
12,11.0,184.667673953,577.182185995,79.1432888372,247.363793998
13,12.0,184.999993806,582.52939968,79.2857116309,249.655457006
14,13.0,185.328954175,587.885587674,79.4266946465,251.950966146
15,14.0,185.654518625,593.249971378,79.5662222678,254.249987734
16,15.0,185.976670522,598.621751039,79.7042873661,256.552179017
17,16.0,186.295542581,603.999969022,79.8409468203,258.857129581
18,17.0,186.610996435,609.383941254,79.9761413293,261.164546252
19,18.0,186.923102174,614.772769546,80.1099009318,263.474044091
20,19.0,187.231863654,620.165620971,80.2422272805,265.785266131
21,20.0,187.537278868,625.561666229,80.3731195147,268.097856955
22,20.0,187.537278868,625.561666229,80.3731195147,268.097856955
23,21.0,187.83936352,630.960057161,80.5025843658,270.411453069
24,22.0,188.138140389,636.359937979,80.6306315953,272.725687705
25,23.0,188.433599256,641.760483682,80.7572568239,275.040207292
26,24.0,188.725766748,647.160838195,80.8824714634,277.354644941
27,25.0,189.014657354,652.560150876,81.006281723,279.66863609
28,26.0,189.300272166,657.957593321,81.1286880713,281.981825709
29,27.0,189.582641146,663.352298834,81.2497033483,284.293842357
30,28.0,189.861777161,668.743443182,81.3693330691,286.604332792
31,29.0,190.137657365,674.130213373,81.4875674421,288.912948588
32,30.0,190.4104299,679.511633458,81.6044699572,291.219271482
33,30.0,190.4104299,679.511633458,81.6044699572,291.219271482
34,31.0,190.679830184,684.88717628,81.7199272214,293.523075548
35,32.0,190.946163515,690.25571061,81.8340700779,295.823875976
36,33.0,191.209316751,695.61653762,81.9468500363,298.121373266
37,34.0,191.469339034,700.968816966,82.0582881573,300.415207271
38,35.0,191.726227837,706.311757042,82.1683833588,302.705038732
39,36.0,191.980036496,711.644510213,82.2771584985,304.990504377
40,37.0,192.230722991,716.966334726,82.3845955676,307.271286311
41,38.0,192.478344677,722.276400095,82.4907191474,309.547028612
42,39.0,192.722918551,727.573921564,82.5955365217,311.817394956
